username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,prob_0,prob_1,prob_2,confidence_level,uncertainty_score
abbasmowzoon,Abbas_Mowzoon,Researcher Author Director Producer,,0.0,390.0,False,April 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Researcher Author Director Producer,Abbas_Mowzoon,1,0.32324445844503047,0.33874300225980886,0.3380125392951606,0.33874300225980886,0.6612569977401912
__injaneb96,ثنا ابراهیمی | Sana Ebrahimi,"A PhD candidate passionate about politics, fighting Islamists and terrorists. A retweet is not an endorsement. Opinions are mine.",,837.0,5593.0,False,March 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"A PhD candidate passionate about politics, fighting Islamists and terrorists. A retweet is not an endorsement. Opinions are mine.",ثنا ابراهیمی | Sana Ebrahimi,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
__mareux__,mareux,linktr.ee/mareux,4384.0,131.0,508.0,False,January 2020,"Los Angeles, CA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,linktr.ee/mareux,mareux,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
__mehmetaslan__,mehmet__aslan,,2.0,5.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,mehmet__aslan,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
__rumi22_,rumi,,13.0,491.0,134.0,False,November 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,rumi,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
__shim__shim,Sh!m@,,5769.0,523.0,,False,September 2017,NY,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Sh!m@,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_3pehr__,Joker,Not everyone likes us.But not everyone matters Nothing is permanent!,,31.0,5587.0,False,December 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Not everyone likes us.But not everyone matters Nothing is permanent!,Joker,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_advanceuk,Advance UK,"Striving for a proud, independent and prosperous United Kingdom. We stand for nation, freedom, democracy and equality under the law.  Led by  @benhabib6",1.0,362.0,1638.0,False,June 2025,http://www.advanceuk.org.uk,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Striving for a proud, independent and prosperous United Kingdom. We stand for nation, freedom, democracy and equality under the law.  Led by  @benhabib6",Advance UK,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
allytheluminus,Vicar~keepitDoPe🥂,Spontaneously hilarious/mwana waMwari/hala madrid,41.0,256.0,33.0,False,November 2023,"Harare, Zimbabwe",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Spontaneously hilarious/mwana waMwari/hala madrid,Vicar~keepitDoPe🥂,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
almaaward,Astrid Lindgren Memorial Award,"The Astrid Lindgren Memorial Award is a global award created in 2002 by the Swedish government, to promote every child’s right to great stories.",2471.0,966.0,1894.0,False,August 2013,Stockholm,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"The Astrid Lindgren Memorial Award is a global award created in 2002 by the Swedish government, to promote every child’s right to great stories.",Astrid Lindgren Memorial Award,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
almaharel,Alma Har'el🌪 עלמה,Born.,,1548.0,120.0,False,March 2011,Bon Bon Club,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Born.,Alma Har'el🌪 עלמה,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
almergaw41256,Almergaw,,22.0,1563.0,0.0,False,July 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Almergaw,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
alyamaniyeen,313اليماني515,,77.0,989.0,1686.0,False,February 2024,"Georgia, USA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,313اليماني515,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
0dybbxx0o1b5xa,CathyBryce,,112.0,4623.0,0.0,False,September 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,CathyBryce,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_ipesarekhob,پِسَرِ خوبْ,,899.0,1056.0,3112.0,False,August 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,پِسَرِ خوبْ,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
alooupi61211,Alooupi,,88.0,2288.0,0.0,False,April 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Alooupi,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
alldoaa110,الدعاء / prayer,مقاطع من الأدعية المأثورة عن النبي و آله عليهم السلام Selections of Supplications by the Holy Household,686.0,2.0,698.0,False,July 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,مقاطع من الأدعية المأثورة عن النبي و آله عليهم السلام Selections of Supplications by the Holy Household,الدعاء / prayer,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_amiir_75,amiir,just be real,140.0,1333.0,1337.0,False,July 2024,istanbull,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,just be real,amiir,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
,,,,,,,,,,,,,,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_danielsantini,Daniel Santini,coordenador  @frosaluxemburgo  | doutorando/PhD Student em Planejamento Urbano e Regional  @usponline  | Mestre em Ciências/M.Sc.  @FAUUSPoficial  | jornalista,1768.0,1888.0,3079.0,False,January 2017,"São Paulo, Brasil",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,coordenador  @frosaluxemburgo  | doutorando/PhD Student em Planejamento Urbano e Regional  @usponline  | Mestre em Ciências/M.Sc.  @FAUUSPoficial  | jornalista,Daniel Santini,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_ellrose,ell,,5833.0,225.0,,False,May 2013,"Manchester, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,ell,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_alevgundogan_,Alev Gündoğan,,0.0,4.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Alev Gündoğan,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_ali_najjar_,علی نجار,او از پیروان م ح م د بن حسن بود,770.0,890.0,4161.0,False,December 2018,کهکشان راه شیری ، دست چپ,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,او از پیروان م ح م د بن حسن بود,علی نجار,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_aliemili_,Ali Emili,کد می‌نویسم، گیتار الکتریک میزنم، دو خط کتاب می‌خونم و فیلم و سریال می‌بینم، یه ورزشی‌ام می‌کنم و اینا، انگلیسی و آلمانی می‌خونم، اسم اینارو فعلا گذاشتم هویت.,9.0,132.0,87.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,کد می‌نویسم، گیتار الکتریک میزنم، دو خط کتاب می‌خونم و فیلم و سریال می‌بینم، یه ورزشی‌ام می‌کنم و اینا، انگلیسی و آلمانی می‌خونم، اسم اینارو فعلا گذاشتم هویت.,Ali Emili,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_alignments,Alignments,"@__Think_ ,",15.0,13.0,2.0,False,June 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"@__Think_ ,",Alignments,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_alonso11,Alonso Martínez,Jugador de New York city,7990.0,102.0,77.0,False,August 2016,"Puntarenas, Costa Rica",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Jugador de New York city,Alonso Martínez,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
